User_Id,Place_Id,Place_Ratings,Price,Rating,Lat,Long,Category_Encoded,City_Encoded,Age_Group_Encoded,Price_Scaled
1,179,3,75000,4.6,-7.7705416,110.4894158,1,4,2,0.08333333333333333
1,344,2,3000,4.1,-6.948877,110.3893285,0,2,2,0.0033333333333333335
1,5,5,94000,4.5,-6.12419,106.839134,4,1,2,0.10444444444444445
1,373,3,10000,4.5,-7.2645989,110.4046017,1,2,2,0.011111111111111112
1,101,4,0,4.0,-7.79219,110.362151,1,4,2,0.0
1,312,2,11000,4.5,-6.8585841,107.6306089,2,0,2,0.012222222222222223
1,258,5,5000,4.6,-6.9026379,107.619169,1,0,2,0.005555555555555556
1,20,4,2000,4.5,-6.1722241,106.8189695,1,1,2,0.0022222222222222222
1,154,2,10000,4.5,-8.1333389,110.5537405,0,4,2,0.011111111111111112
1,393,5,0,4.4,-7.2952211,112.8035603,2,3,2,0.0
1,103,3,0,4.7,-7.7829437,110.3670548,4,4,2,0.0
1,208,5,10000,4.6,-7.7628136,110.1161626,2,4,2,0.011111111111111112
1,89,3,50000,4.4,-7.8163156,110.3871442,1,4,2,0.05555555555555555
1,405,5,50000,4.4,-7.1968193,112.7324578,4,3,2,0.05555555555555555
1,41,5,2000,4.4,-6.1269553,106.8085899,1,1,2,0.0022222222222222222
1,336,4,15000,4.4,-6.9605225,110.3863941,4,2,2,0.016666666666666666
1,67,4,25000,4.2,-6.1160075,106.7692016,2,1,2,0.027777777777777776
1,292,3,0,4.6,-6.8116009,107.5695213,2,0,2,0.0
1,222,3,0,4.6,-6.9211092,107.609597,1,0,2,0.0
1,76,2,20000,4.5,-6.1810843,106.7954476,4,1,2,0.022222222222222223
1,428,3,0,4.6,-7.2677755,112.7443898,1,3,2,0.0
1,15,3,0,4.4,-6.1766868,106.8417666,3,1,2,0.0
1,246,4,10000,4.4,-6.7905692,107.5826388,2,0,2,0.011111111111111112
1,265,5,0,4.4,-6.9173405,107.6112627,1,0,2,0.0
1,21,2,5000,4.5,-6.1349072,106.8124452,1,1,2,0.005555555555555556
1,328,2,10000,4.5,-6.8231833,107.4371655,2,0,2,0.011111111111111112
